,Symbol
0,MMM
1,AOS
2,ABT
3,ABBV
4,ACN
5,ADBE
6,AMD
7,AES
8,AFL
9,A
10,APD
11,ABNB
12,AKAM
13,ALB
14,ARE
15,ALGN
16,ALLE
17,LNT
18,ALL
19,GOOGL
20,GOOG
21,MO
22,AMZN
23,AMCR
24,AEE
25,AAL
26,AEP
27,AXP
28,AIG
29,AMT
30,AWK
31,AMP
32,AME
33,AMGN
34,APH
35,ADI
36,ANSS
37,AON
38,APA
39,AAPL
40,AMAT
41,APTV
42,ACGL
43,ADM
44,ANET
45,AJG
46,AIZ
47,T
48,ATO
49,ADSK
50,ADP
51,AZO
52,AVB
53,AVY
54,AXON
55,BKR
56,BALL
57,BAC
58,BK
59,BBWI
60,BAX
61,BDX
62,BRK.B
63,BBY
64,BIO
65,TECH
66,BIIB
67,BLK
68,BX
69,BA
70,BKNG
71,BWA
72,BXP
73,BSX
74,BMY
75,AVGO
76,BR
77,BRO
78,BF.B
79,BLDR
80,BG
81,CDNS
82,CZR
83,CPT
84,CPB
85,COF
86,CAH
87,KMX
88,CCL
89,CARR
90,CTLT
91,CAT
92,CBOE
93,CBRE
94,CDW
95,CE
96,COR
97,CNC
98,CNP
99,CDAY
100,CF
101,CHRW
102,CRL
103,SCHW
104,CHTR
105,CVX
106,CMG
107,CB
108,CHD
109,CI
110,CINF
111,CTAS
112,CSCO
113,C
114,CFG
115,CLX
116,CME
117,CMS
118,KO
119,CTSH
120,CL
121,CMCSA
122,CMA
123,CAG
124,COP
125,ED
126,STZ
127,CEG
128,COO
129,CPRT
130,GLW
131,CTVA
132,CSGP
133,COST
134,CTRA
135,CCI
136,CSX
137,CMI
138,CVS
139,DHR
140,DRI
141,DVA
142,DE
143,DAL
144,XRAY
145,DVN
146,DXCM
147,FANG
148,DLR
149,DFS
150,DG
151,DLTR
152,D
153,DPZ
154,DOV
155,DOW
156,DHI
157,DTE
158,DUK
159,DD
160,EMN
161,ETN
162,EBAY
163,ECL
164,EIX
165,EW
166,EA
167,ELV
168,LLY
169,EMR
170,ENPH
171,ETR
172,EOG
173,EPAM
174,EQT
175,EFX
176,EQIX
177,EQR
178,ESS
179,EL
180,ETSY
181,EG
182,EVRG
183,ES
184,EXC
185,EXPE
186,EXPD
187,EXR
188,XOM
189,FFIV
190,FDS
191,FICO
192,FAST
193,FRT
194,FDX
195,FIS
196,FITB
197,FSLR
198,FE
199,FI
200,FLT
201,FMC
202,F
203,FTNT
204,FTV
205,FOXA
206,FOX
207,BEN
208,FCX
209,GRMN
210,IT
211,GEHC
212,GEN
213,GNRC
214,GD
215,GE
216,GIS
217,GM
218,GPC
219,GILD
220,GPN
221,GL
222,GS
223,HAL
224,HIG
225,HAS
226,HCA
227,PEAK
228,HSIC
229,HSY
230,HES
231,HPE
232,HLT
233,HOLX
234,HD
235,HON
236,HRL
237,HST
238,HWM
239,HPQ
240,HUBB
241,HUM
242,HBAN
243,HII
244,IBM
245,IEX
246,IDXX
247,ITW
248,ILMN
249,INCY
250,IR
251,PODD
252,INTC
253,ICE
254,IFF
255,IP
256,IPG
257,INTU
258,ISRG
259,IVZ
260,INVH
261,IQV
262,IRM
263,JBHT
264,JBL
265,JKHY
266,J
267,JNJ
268,JCI
269,JPM
270,JNPR
271,K
272,KVUE
273,KDP
274,KEY
275,KEYS
276,KMB
277,KIM
278,KMI
279,KLAC
280,KHC
281,KR
282,LHX
283,LH
284,LRCX
285,LW
286,LVS
287,LDOS
288,LEN
289,LIN
290,LYV
291,LKQ
292,LMT
293,L
294,LOW
295,LULU
296,LYB
297,MTB
298,MRO
299,MPC
300,MKTX
301,MAR
302,MMC
303,MLM
304,MAS
305,MA
306,MTCH
307,MKC
308,MCD
309,MCK
310,MDT
311,MRK
312,META
313,MET
314,MTD
315,MGM
316,MCHP
317,MU
318,MSFT
319,MAA
320,MRNA
321,MHK
322,MOH
323,TAP
324,MDLZ
325,MPWR
326,MNST
327,MCO
328,MS
329,MOS
330,MSI
331,MSCI
332,NDAQ
333,NTAP
334,NFLX
335,NEM
336,NWSA
337,NWS
338,NEE
339,NKE
340,NI
341,NDSN
342,NSC
343,NTRS
344,NOC
345,NCLH
346,NRG
347,NUE
348,NVDA
349,NVR
350,NXPI
351,ORLY
352,OXY
353,ODFL
354,OMC
355,ON
356,OKE
357,ORCL
358,OTIS
359,PCAR
360,PKG
361,PANW
362,PARA
363,PH
364,PAYX
365,PAYC
366,PYPL
367,PNR
368,PEP
369,PFE
370,PCG
371,PM
372,PSX
373,PNW
374,PXD
375,PNC
376,POOL
377,PPG
378,PPL
379,PFG
380,PG
381,PGR
382,PLD
383,PRU
384,PEG
385,PTC
386,PSA
387,PHM
388,QRVO
389,PWR
390,QCOM
391,DGX
392,RL
393,RJF
394,RTX
395,O
396,REG
397,REGN
398,RF
399,RSG
400,RMD
401,RVTY
402,RHI
403,ROK
404,ROL
405,ROP
406,ROST
407,RCL
408,SPGI
409,CRM
410,SBAC
411,SLB
412,STX
413,SRE
414,NOW
415,SHW
416,SPG
417,SWKS
418,SJM
419,SNA
420,SO
421,LUV
422,SWK
423,SBUX
424,STT
425,STLD
426,STE
427,SYK
428,SYF
429,SNPS
430,SYY
431,TMUS
432,TROW
433,TTWO
434,TPR
435,TRGP
436,TGT
437,TEL
438,TDY
439,TFX
440,TER
441,TSLA
442,TXN
443,TXT
444,TMO
445,TJX
446,TSCO
447,TT
448,TDG
449,TRV
450,TRMB
451,TFC
452,TYL
453,TSN
454,USB
455,UBER
456,UDR
457,ULTA
458,UNP
459,UAL
460,UPS
461,URI
462,UNH
463,UHS
464,VLO
465,VTR
466,VLTO
467,VRSN
468,VRSK
469,VZ
470,VRTX
471,VFC
472,VTRS
473,VICI
474,V
475,VMC
476,WRB
477,WAB
478,WBA
479,WMT
480,DIS
481,WBD
482,WM
483,WAT
484,WEC
485,WFC
486,WELL
487,WST
488,WDC
489,WRK
490,WY
491,WHR
492,WMB
493,WTW
494,GWW
495,WYNN
496,XEL
497,XYL
498,YUM
499,ZBRA
500,ZBH
501,ZION
502,ZTS
